,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Return 3m Rank,Return 6m Rank,Return 1y Rank,EA ret std Rank,P/E Rank,P/B Rank,P/S Rank,P/FCF Rank,EV/EBIT Rank,Asset Growth Rank,Yield Rank,ROE Rank,ROC Rank,FCFROE Rank,GPA Rank,Assets Turn Rank,Momentum Rank,Quality Rank,Value Rank,Gestalt Rank
48,48,27,BE Group,Industrial Components,6.472,239.756,1.735,1102.0,3105.0,0.29827,1678.29,54.516,0.3503199999999999,7.0,1413.0,0.05306,0.56934,2.4058,Sweden,Small Cap,BEGR,3.091,2022-01-27,BEGR.ST,2.11594,0.0930199999999999,3.384,0.311,1.188,0.28412,2022-02-25,Q4-2021,Industrials,0.0049539985845718,0.3549114331723027,0.1209975820471807,2.281945917477926,0.53073908826212,0.4577862283464983,0.4859717089620281,45.0,8.0,3.0,30.0,1.0,30.0,8.0,154.0,5.0,231.0,4.0,22.0,40.0,157.0,108.0,16.0,4.0,39.5,28.0,1.0
332,332,177,Poolia,Outsourcing,2.421,7.16,2.987,162.1,636.8,0.96571,762.515,48.059,0.37752,106.5,212.7,-0.0060799999999999,0.26255,1.66923,Sweden,Small Cap,POOL B,6.593,2022-02-22,POOL-B.ST,1.5153800000000002,0.06116,9.461,0.401,3.585,0.27641,2022-02-25,Q4-2021,Industrials,0.5007052186177715,0.2545540201005025,0.0283183646322831,0.4800909650986775,0.4648378630748694,0.4384547531597866,0.5406102548008774,73.0,22.0,5.0,122.0,24.0,209.0,17.0,20.0,19.0,228.0,13.0,16.0,10.0,11.0,165.0,2.0,20.0,17.0,45.0,2.0
44,44,1313,B3 Consulting,IT Consulting,1.519,12.033,1.647,283.5,559.7,0.3386099999999999,845.889,50.444,0.23279,70.3,194.6,0.3848299999999999,0.47164,1.4023500000000002,Sweden,Small Cap,B3,12.694,2022-02-18,B3.ST,1.32,0.0355,18.305,0.918,4.347,0.0927399999999999,2022-02-25,Q4-2021,Technology,0.3612538540596094,0.5065213507236019,0.2333668976975584,4.687968921207882,0.4357930092259046,0.3992670662230148,0.4562408545663033,4.0,9.0,12.0,2.0,99.0,238.0,67.5,47.0,77.0,121.0,49.0,57.0,32.0,21.0,65.0,19.5,1.0,15.0,73.0,3.0
67,67,38,Björn Borg,Clothing & Footwear,2.744,11.83,1.129,444.432,680.668,0.265,1223.45,50.95,0.2574099999999999,103.419,334.217,0.08111,0.25064,1.5652,Sweden,Small Cap,BORG,12.079,2022-02-25,BORG.ST,1.43982,0.05139,14.221,1.593,3.661,0.09959,2022-02-25,Q4-2021,Consumer Durables,0.3094366833524327,0.6529350579136965,0.1393312050145116,2.6835549969804986,0.4324737545580178,0.3709955635372649,0.4758581764613266,38.0,25.0,8.0,21.0,62.0,215.0,123.0,44.0,64.0,130.0,28.0,44.0,52.0,27.0,28.0,69.0,6.0,19.0,69.0,4.0
101,101,51,Clas Ohlson,Retailers,33.495,6.161,1.305,3426.2,6395.4,0.21384,6809.28,43.274,0.2225,1105.2,2029.7,-0.06739,0.05756,0.44993,Sweden,Mid Cap,CLAS B,12.54,2021-12-08,CLAS-B.ST,0.36759,0.06021,14.56,0.816,3.355,0.11706,2022-02-25,Q2-2022,Consumer Durables,0.544513967581416,0.5357288050786503,0.0801808682331284,3.151807574444012,0.3488047203865845,0.2776803626988686,0.233158204799611,102.0,59.0,51.0,14.0,65.0,197.0,57.0,13.0,74.0,145.0,16.0,61.0,73.0,10.0,58.0,37.5,22.0,21.0,52.0,5.0
236,236,117,Kabe,Auto & Equipment,1.523,5.856,1.526,466.0,2140.0,0.29138,2196.0,56.146,0.1632,375.0,1299.0,-0.03175,0.02092,0.45507,Sweden,Small Cap,KABE B,6.646,2022-02-25,KABE-B.ST,0.4144899999999999,0.02869,10.359,0.672,1.691,0.30567,2022-02-25,Q4-2021,Consumer Durables,0.2886836027713625,0.2177570093457944,0.1374992648351933,2.322961993386447,0.4332295527097158,0.3749275222007673,0.5424977170543229,90.0,67.0,48.0,29.0,29.0,68.0,44.0,11.0,21.0,240.0,70.0,100.0,42.0,30.0,216.0,26.0,24.0,48.0,25.0,6.0
294,294,758,Nilörngruppen,Packaging,2.034,15.229,1.418,364.131,556.069,0.55932,1021.619,47.781,0.31423,67.085,278.259,0.12422,0.31378,0.78154,Sweden,Small Cap,NIL B,8.206,2022-02-09,NIL-B.ST,0.68738,0.0558,11.684,1.296,3.671,0.3592,2022-02-25,Q4-2021,Materials,0.2410883385622746,0.6548306055543467,0.0797555436079768,1.790371128483937,0.4123276062823274,0.3372502754896982,0.4082793895200869,29.0,17.0,27.0,42.0,40.0,216.0,101.0,64.0,26.0,259.0,21.0,26.0,23.0,45.0,27.0,32.0,8.0,9.5,80.0,7.0
384,384,210,Softronic,IT Consulting,1.511,12.204,1.838,519.1,428.0,0.7023199999999999,1328.983,44.144,0.28744,108.9,256.4,-0.0175099999999999,0.0,0.15152,Sweden,Small Cap,SOF B,12.789,2022-02-25,SOF-B.ST,0.09307,0.05347,18.033,1.69,5.183,-0.1699,2022-02-25,Q4-2021,Technology,0.4247269890795632,1.2128504672897196,0.0951384359038647,1.760812088240171,0.4076325799536763,0.3739125892771706,0.4952022841516271,80.0,71.0,109.0,43.0,94.0,262.0,131.0,48.0,79.0,20.0,27.0,36.0,14.0,15.0,5.0,12.0,36.0,6.0,68.0,8.0
291,291,155,New Wave,Clothing & Footwear,26.105,8.715,0.877,3229.3,7660.6,0.18055,9526.998,53.094,0.16646,1093.2,4566.7,-0.15728,0.02865,1.13348,Sweden,Mid Cap,NEWA B,10.534,2022-02-10,NEWA-B.ST,1.07215,0.0296,12.531,1.418,2.086,0.0615099999999999,2022-02-25,Q4-2021,Consumer Durables,0.2393851139772702,0.4215466151476386,0.1720989246267512,3.7757691843765246,0.4539292965578913,0.4174748540615115,0.4177460594709602,171.0,65.0,18.0,5.0,47.0,109.0,110.0,24.0,54.0,99.0,68.0,97.0,91.0,47.0,86.0,122.0,26.0,57.0,29.0,9.0
389,389,1632,SSAB B,Mining - Steel & Aluminum,349.645,4.067,0.856,23466.0,112019.0,0.26,51254.891,37.727,0.19946,12602.0,73477.0,0.22496,0.19553,0.63022,Sweden,Large Cap,SSAB B,2.596,2022-01-28,SSAB-B.ST,0.47467,0.10549,3.496,0.535,0.698,0.26431,2022-02-25,Q4-2021,Materials,0.1715094519373409,0.2094823199635776,0.0114806766833317,0.280590106516374,0.3575241307982374,0.3481957911930322,0.3750030290366787,16.0,31.0,35.0,143.0,2.0,5.0,31.0,5.0,2.0,224.0,2.0,76.0,53.0,73.0,224.0,129.0,21.0,85.5,6.0,10.0
119,119,245,Dedicare,Outsourcing,1.794,8.795,2.51,469.8,497.9,0.61185,591.885,45.159,0.36751,67.3,178.5,-0.00316,-0.24279,0.3590299999999999,Sweden,Small Cap,DEDI,5.233,2022-02-10,DEDI.ST,0.27789,0.06349,9.023,0.474,3.316,0.29459,2022-02-25,Q4-2021,Industrials,0.3770308123249299,0.943562964450693,0.0513535379436418,1.1447061540450305,0.4065789863487991,0.379755143431362,0.4111648635747059,69.0,219.5,62.0,76.0,21.0,194.0,27.0,25.0,12.0,234.0,9.0,18.0,22.0,19.0,13.0,5.0,72.0,5.0,42.5,11.0
14,14,258,Africa Oil,Oil & Gas -Exploration,33.158,4.634,0.226,2213.971,8636.454,0.23592,9020.877,54.796,0.24858,1946.585,8030.7,0.35231,0.65217,1.20418,Sweden,Mid Cap,AOI,4.585,2021-11-15,AOI.ST,1.20418,0.0,4.502,4.615,1.123,0.01258,2022-02-25,Q3-2021,Energy,0.2423929420847498,0.2563518545921741,0.0478438757501209,1.0413123792806225,0.4317743754983769,0.3976911186567614,0.4210997324673239,7.0,7.0,17.0,80.0,6.0,27.0,248.0,6.0,10.0,56.0,270.5,47.0,66.0,43.0,164.0,301.0,7.0,102.0,13.0,12.0
