,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Return 3m Rank,Return 6m Rank,Return 1y Rank,EA ret std Rank,Res_Mom_1Y Rank,Res_Mom_6m Rank,P/E Rank,P/B Rank,P/S Rank,P/FCF Rank,EV/EBIT Rank,Asset Growth Rank,Yield Rank,ROE Rank,ROC Rank,FCFROE Rank,GPA Rank,Assets Turn Rank,PMOM Rank,IMOM Rank,Momentum Rank,Quality Rank,Value Rank,Gestalt Rank
332,332,357,Wise Group,Outsourcing,0.595,4.257,1.842,517.125,404.267,0.36732,447.895,57.726,0.29194,105.21,141.719,0.5947399999999999,0.7265,0.7386400000000001,Sweden,Small Cap,WISE,9.0,2022-02-18,WISE.ST,0.06601,10.825,0.602,3.16,-0.01897,2022-04-28,Q4-2021,Industrials,0.7423845779323873,1.2791669861749784,0.1832626693065815,3.627975837437617,0.5113312410824554,0.4650633849970323,0.4629661782699295,1.2521989162982905,6.1095844044071,6.604542649051023,5.0,8.0,22.0,5.0,12.0,3.0,45.0,190.0,39.0,7.0,42.0,41.0,9.0,34.0,33.0,6.0,3.0,13.0,8.0,4.0,1.0,6.0,16.0,1.0
264,264,191,Rottneros,Forest & Wood Products,1.733,13.837,0.948,1328.0,2555.0,0.20713,2006.394,44.355,0.17953,145.0,1710.0,0.21111,0.3002,0.82626,Sweden,Mid Cap,RROS,5.008,2022-04-28,RROS.ST,0.0458699999999999,6.501,0.812,1.173,0.14012,2022-04-28,Q1-2022,Materials,0.0847953216374269,0.5197651663405088,0.0568711454901502,1.1042140992681575,0.3589126245931052,0.3170127530873146,0.4720394880670141,0.6345967530931171,4.146126742441259,4.570989174223668,34.0,33.0,20.0,74.0,30.0,17.0,11.0,33.0,55.0,52.0,10.0,154.0,37.0,89.0,85.0,109.0,61.0,93.5,15.5,14.0,10.0,56.0,14.0,2.0
297,297,1632,SSAB B,Mining - Steel & Aluminum,504.864,4.076,0.87,30234.0,123870.0,0.32426,58474.031,47.456,0.23512,14346.0,81469.0,0.20654,0.342,0.3586399999999999,Sweden,Large Cap,SSAB B,2.112,2022-04-26,SSAB-B.ST,0.09246,3.051,0.542,0.718,0.33509,2022-04-28,Q1-2022,Materials,0.1760915194736648,0.2440784693630419,0.0355934346405492,0.6396226282554105,0.4035184842238474,0.3839313830131124,0.5100182553849488,1.1346113208493125,2.5796945623478957,3.4492460566422465,35.0,26.0,51.0,105.0,57.0,37.0,3.0,9.0,34.0,6.0,3.0,239.0,2.0,61.0,40.0,65.0,160.0,119.0,28.5,38.0,21.5,59.5,7.0,3.0
177,177,117,Kabe,Auto & Equipment,1.507,5.736,1.526,466.0,2140.0,0.29138,2151.0,57.797,0.1632,375.0,1299.0,-0.08077,0.0963299999999999,0.10792,Sweden,Small Cap,KABE B,6.471,2022-02-25,KABE-B.ST,0.0292899999999999,10.146,0.659,1.656,0.30567,2022-04-28,Q4-2021,Consumer Durables,0.2886836027713625,0.2177570093457944,0.1021288388365702,1.6842973415775024,0.4244825853195871,0.3756039626779802,0.5557369510162505,1.052562512125942,1.6424254940780425,5.409800360201758,167.0,66.0,81.0,48.0,84.0,7.0,40.0,77.0,47.0,12.0,20.0,228.0,75.0,103.0,50.0,30.0,198.0,25.0,56.0,35.0,14.0,49.0,29.0,4.0
57,57,38,Björn Borg,Clothing & Footwear,2.321,11.319,1.129,444.432,680.668,0.265,1170.639,46.566,0.2574099999999999,103.419,334.217,0.04607,0.23311,0.99829,Sweden,Small Cap,BORG,11.571,2022-02-25,BORG.ST,0.05371,13.608,1.47,3.503,0.09959,2022-04-28,Q4-2021,Consumer Durables,0.3094366833524327,0.6529350579136965,0.0979605843794522,1.909211854417401,0.4391194787107195,0.3823201423219457,0.4702587531103871,1.8406556944280248,12.702299255837458,8.022056785866514,78.0,41.0,13.0,38.0,1.0,2.0,63.0,207.0,117.0,39.0,69.0,124.0,21.0,49.0,59.0,27.0,26.0,66.0,17.0,1.0,5.0,21.0,69.0,5.0
93,93,245,Dedicare,Outsourcing,2.011,10.096,2.315,524.0,595.8,1.2923099999999998,744.084,43.838,0.3792799999999999,73.7,201.7,0.17507,0.0393699999999999,0.40403,Sweden,Small Cap,DEDI,5.562,2022-04-21,DEDI.ST,0.05051,9.727,0.537,3.689,0.31003,2022-04-28,Q1-2022,Industrials,0.3653941497273178,0.8794897616649883,0.0515181791754842,1.0493745033737538,0.4003938460376768,0.3893038766870907,0.4499555782591148,0.698729222743399,1.4295496018538707,0.5007785728275113,43.0,82.0,45.0,79.0,90.0,137.0,35.0,210.0,32.5,32.0,14.0,231.0,28.0,14.0,9.0,18.0,15.0,6.0,51.0,102.0,43.0,4.0,50.0,6.0
34,34,1313,B3 Consulting,IT Consulting,3.253,11.43,1.633,314.9,602.8,0.47045,1110.98,52.261,0.29947,97.2,203.3,0.6107,0.8988299999999999,1.45113,Sweden,Small Cap,B3,11.516,2022-04-27,B3.ST,0.02703,16.244,1.125,5.465,0.18359,2022-04-28,Q1-2022,Technology,0.4781111657648795,0.5223954877239548,0.1511116239522804,2.4813818659943903,0.4652836617421459,0.4359098978984673,0.5581409815546645,0.7683674939259161,7.318191574315051,6.446368200542189,4.0,4.0,8.0,24.0,7.0,4.0,83.0,261.0,89.0,40.0,68.0,184.0,82.0,31.0,29.0,12.0,59.0,21.0,3.0,2.0,2.0,10.0,89.0,7.0
38,38,27,BE Group,Industrial Components,15.519,37.601,1.709,1222.0,3589.0,0.33567,1955.27,78.026,0.3699,52.0,1568.0,0.2048,0.44115,5.81613,Sweden,Small Cap,BEGR,3.593,2022-04-21,BEGR.ST,0.07968,3.371,0.319,1.247,0.28362,2022-04-28,Q1-2022,Industrials,0.0331632653061224,0.3404848147116188,-0.0517283616813947,-0.6079078792670289,0.6270953022262052,0.5544282970601877,0.7798850485927606,0.8718715478851711,6.374130313662669,3.994478443141442,36.0,15.0,2.0,242.0,10.0,28.0,4.0,36.0,8.0,102.0,5.0,220.0,5.0,17.0,38.0,131.0,107.0,18.0,4.0,10.5,47.0,36.0,20.0,8.5
68,68,45,Byggmax,Retailers,19.944,19.811,1.202,2710.0,6492.0,0.24043,4556.625,41.795,0.26995,230.0,2256.0,0.03894,0.01083,0.01083,Sweden,Mid Cap,BMAX,8.138,2022-04-21,BMAX.ST,0.05355,7.293,0.582,2.02,0.22514,2022-04-28,Q1-2022,Consumer Durables,0.101950354609929,0.4174368453481207,0.0778868437020202,1.9624384600788067,0.3780951339297941,0.3462227521489412,0.3637539358980656,1.5937167771017111,1.1423920356585695,2.5481279630157885,84.0,92.0,110.0,37.0,97.0,58.0,15.0,108.0,37.0,71.0,30.0,197.0,22.0,41.0,69.0,100.0,83.0,52.0,83.5,66.0,29.0,41.0,33.0,8.5
318,318,224,TietoEVRY,IT Consulting,3.334,6.048,0.787,24083.461,36948.16,0.1553999999999999,29109.111,26.321,0.16012,4813.19,18757.33,-0.09897,-0.08488,-0.1184399999999999,Sweden,Large Cap,TIETOS,8.927,2022-02-17,TIETOS.ST,0.05867,9.681,0.958,1.552,-0.00488,2022-04-28,Q4-2021,Technology,0.2566031519411344,0.6518176006599516,0.0301439295954533,1.475361827225356,0.2343217436376083,0.2192794175412568,0.1872582529458172,1.026821368840366,0.2682327074068935,2.5229608308106464,177.0,122.0,143.0,63.0,121.0,59.0,34.0,67.0,70.0,13.0,39.0,44.0,18.0,106.0,116.0,40.0,27.0,141.0,122.5,80.0,51.0,53.0,5.0,10.0
223,223,758,Nilörngruppen,Packaging,2.948,26.153,1.419,388.897,602.975,0.53416,1256.5,58.392,0.31215,48.044,306.783,0.36218,0.30879,0.53518,Sweden,Small Cap,NIL B,9.21,2022-04-21,NIL-B.ST,0.04537,13.121,1.469,4.096,0.2961,2022-04-28,Q1-2022,Materials,0.1566058093179869,0.6449637215473278,0.246989629614965,4.438995612199816,0.4640162285686839,0.3860723620023737,0.5099571040210055,1.407320011545228,4.3877377172684655,4.147132381762905,20.0,32.0,31.0,3.0,23.0,27.0,60.0,226.0,116.0,85.0,44.0,225.0,38.0,27.0,23.0,72.0,28.0,33.0,24.0,16.0,3.0,13.5,98.5,11.0
