,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
0,2,AAK,Food Processing,43.047,-309.025,1.305,7941.0,27166.0,0.14911,43881.563,20.794,0.12146000000000001,-142.0,11783.0,-0.10658,-0.18507,-0.061900000000000004,Sweden,Large Cap,AAK,22.833,2022-02-04,AAK.ST,0.01473,30.291,1.231,3.724,0.21941,Q4-2021,Food and Beverage,-0.012051260290248663,0.29231392181403226,0.021856825249245038,0.939450507538985,0.18099792706520879,0.17528278398388966,0.2132322146878632
1,3,ABB,Industrial Machinery,355.859,13.112,0.59,79522.797,338184.0,0.27848,620871.955,24.179,0.28984000000000004,47350.801,130863.602,-0.05647,-0.08169,0.23579999999999998,Sweden,Large Cap,ABB,12.909,2022-02-03,ABB.ST,0.02483,15.575,2.554,4.744,-0.02015,Q4-2021,Industrials,0.3618332391614897,0.2351465385707189,-0.011726487902116722,-0.46976049459717956,0.21338616138607544,0.19515061023937552,0.22878687784724772
2,437,Absolent Air Care,Installation,1.086,-209.234,0.957,392.235,1030.605,0.09391999999999999,4132.165,38.167,0.08084,-19.749,349.644,-0.24431,-0.15313000000000002,-0.09429,Sweden,First North,ABSO,75.558,2021-11-12,ABSO.ST,0.00493,146.205,4.19,11.818,-0.1096,Q3-2021,Industrials,-0.05648316573428973,0.3805871308600288,0.03751074312779723,0.8825117067138809,0.35691693848139705,0.32524769441616563,0.3895604295091934
3,1323,AcadeMedia,Education,14.207,1.969,0.761,11382.0,18330.0,0.09407,4945.636,33.351,0.12074,2512.0,5425.0,-0.18126,-0.39755,-0.42847999999999997,Sweden,Mid Cap,ACAD,4.933,2022-02-01,ACAD.ST,0.03743,7.504,0.355,0.912,0.056420000000000005,Q2-2022,Industrials,0.4630414746543779,0.6209492635024549,0.003969102103709599,0.1254225151255735,0.3609161103064967,0.31989462458075685,0.2900390063625673
4,2198,Acast,Online Services,13.17,-23.277,0.55,373.476,1864.981,-1.36358,3302.704,70.88,-0.20096,-141.889,1494.808,-0.33259,-0.33846,-0.95301,Sweden,First North,ACAST,-8.957,2022-02-11,ACAST.ST,,-10.995,3.22,2.209,1.7121600000000001,Q4-2021,Technology,-0.09492122065174927,0.20025726803651084,-0.003922660723904459,-0.043885942480142666,0.6372897341236952,0.5736069441083407,0.8192094633062108
5,1572,Acconeer,Measuring & Analysis,7.783,-18.278,0.14,27.544,223.223,-1.19283,1017.266,67.365,-0.25608000000000003,-55.656,199.698,-0.53029,-0.32045,0.43817999999999996,Sweden,First North,ACCON,-16.837,2022-02-18,ACCON.ST,,-18.021,32.65,5.094,0.7379300000000001,Q4-2021,Industrials,-0.2787008382657813,0.12339230276450007,-0.128069094682418,-1.7254239556638293,0.7152686507610085,0.6988724611715444,0.6802807143602593
6,2107,ACQ Bure SPAC,Investment Banking,4.674,-491.1,,,3442.2,-0.00233,3437.7,10.798,-0.00212,-7.0,3439.8,-0.03517,-0.029449999999999997,-0.95301,Sweden,Mid Cap,ACQ SPAC,-428.534,2022-02-17,ACQ-SPAC.ST,,-471.079,,0.999,172.84848000000002,Q4-2021,Financials,-0.002035002035002035,,0.037700001516546955,3.3351098367825784,0.11901958218064052,0.10360792574549627,0.10360265124952713
7,1015,AddLife,Biotechnology,93.823,-11.94,0.754,2857.0,10596.0,0.18655000000000002,23485.91,69.114,0.16756000000000001,-1967.0,4291.0,-0.40656,-0.42124,0.12164,Sweden,Large Cap,ALIF B,27.466,2022-02-04,ALIF-B.ST,0.01043,31.856,2.938,5.473,1.5532499999999998,Q4-2021,Health Care,-0.45840130505709625,0.26963004907512267,-0.21705556604558052,-3.3664887753883708,0.6176391754241918,0.5288091053982752,0.5909264089559366
8,7,Addnode,IT Consulting,13.096,313.467,0.943,2309.0,4322.0,0.13997,12225.232,45.788,0.13172,39.0,1693.0,0.00972,-0.05215,0.537,Sweden,Mid Cap,ANOD B,41.289,2022-02-04,ANOD-B.ST,0.00825,54.653,2.999,7.221,0.13201000000000002,Q4-2021,Technology,0.02303603071470762,0.534243405830634,0.05203771237512522,1.0275764642555272,0.39639120759868673,0.3419331706619163,0.46413432819156536
9,8,Addtech,Industrial Components,58.569,140.735,1.153,4023.0,11321.0,0.20126999999999998,39827.924,49.669,0.23887,283.0,3952.0,-0.29808,-0.17978000000000002,0.21667000000000003,Sweden,Large Cap,ADDT B,32.66,2022-02-08,ADDT-B.ST,0.00822,42.192,3.052,10.078,0.20912,Q3-2022,Industrials,0.07160931174089069,0.3553573005918205,0.012558188795886327,0.23141915432314816,0.4076469372834828,0.37725101584674336,0.4973559852209606
