,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
0,1398,AAC Clyde Space,Satellite Systems,2.496,-7.471,0.204,127.591,880.341,-0.059160000000000004,427.645,57.59,-0.05817,-57.241,678.809,-0.35414,-0.32061,-0.34751,Sweden,First North,AAC,-8.846,2022-02-17,AAC.ST,-0.34751,,-10.505,2.376,0.63,0.38364,2022-02-25,Q4-2021,Technology,-0.08432563504608807,0.14493361095302842,-0.06641112048921449,-0.9861300455745903,0.5199070742031513,0.4569545569342275,0.6172289101105957
1,2,AAK,Food Processing,44.638,-316.307,1.305,7941.0,27166.0,0.14911,44915.59,20.504,0.12146000000000001,-142.0,11783.0,-0.08407999999999999,-0.16225,-0.02597,Sweden,Large Cap,AAK,23.328,2022-02-04,AAK.ST,-0.03979,0.01439,31.005,1.267,3.812,0.21941,2022-02-25,Q4-2021,Food and Beverage,-0.012051260290248663,0.29231392181403226,0.021856825249245038,0.939450507538985,0.1784132872713005,0.1728820621993974,0.2132322146878632
2,3,ABB,Industrial Machinery,369.175,13.667,0.59,79522.797,338184.0,0.27848,647152.188,23.732,0.28984000000000004,47350.801,130863.602,-0.01191,-0.03015,0.31879,Sweden,Large Cap,ABB,13.456,2022-02-03,ABB.ST,0.28811,0.02382,16.235,3.245,4.945,-0.02015,2022-02-25,Q4-2021,Industrials,0.3618332391614897,0.2351465385707189,-0.011726487902116722,-0.46976049459717956,0.20887031361821715,0.19199724516216374,0.22878687784724772
3,437,Absolent Air Care,Installation,0.97,-26.629,0.862,413.474,1194.979,0.04824,4245.375,37.327,0.01167,-159.428,355.092,-0.20213,-0.12178000000000001,-0.06452,Sweden,First North,ABSO,125.493,2022-02-24,ABSO.ST,-0.06948,0.0053300000000000005,1024.31,4.122,11.956,0.060439999999999994,2022-02-25,Q4-2021,Industrials,-0.4489766032464826,0.34600942778073923,0.02175205697259963,0.6298460959982994,0.35511688042951267,0.3224343323377641,0.3165231894942123
4,1323,AcadeMedia,Education,14.811,2.194,0.761,11382.0,18330.0,0.09407,5511.607,34.549,0.12074,2512.0,5425.0,-0.08916,-0.34465,-0.34169,Sweden,Mid Cap,ACAD,5.386,2022-02-01,ACAD.ST,-0.36308,0.03359,8.363,0.395,1.016,0.056420000000000005,2022-02-25,Q2-2022,Industrials,0.4630414746543779,0.6209492635024549,0.003969102103709599,0.12621783991161498,0.3646829955163326,0.32081613054627256,0.28821141043127485
5,2198,Acast,Online Services,13.335,-23.304,0.55,373.476,1864.981,-1.36358,3306.523,70.796,-0.20096,-141.889,1494.808,-0.31481000000000003,-0.32970999999999995,-0.95011,Sweden,First North,ACAST,-8.974,2022-02-11,ACAST.ST,,,-11.263,3.224,2.212,1.7121600000000001,2022-02-25,Q4-2021,Technology,-0.09492122065174927,0.20025726803651084,-0.003922660723904459,-0.043885942480142666,0.6357883452978885,0.5719218777263975,0.8192094633062108
6,1572,Acconeer,Measuring & Analysis,8.207,-21.259,0.14,27.544,223.223,-1.19283,1183.166,69.004,-0.25608000000000003,-55.656,199.698,-0.44310000000000005,-0.22559,0.6727299999999999,Sweden,First North,ACCON,-20.084,2022-02-18,ACCON.ST,0.6727299999999999,,-20.96,37.974,5.925,0.7379300000000001,2022-02-25,Q4-2021,Industrials,-0.2787008382657813,0.12339230276450007,-0.128069094682418,-1.7254239556638293,0.7136208174858646,0.6970510307637707,0.6802807143602593
7,2107,ACQ Bure SPAC,Investment Banking,4.626,-496.5,,,3442.2,-0.00233,3475.5,11.077,-0.00212,-7.0,3439.8,-0.01877,-0.02504,-0.95011,Sweden,Mid Cap,ACQ SPAC,-433.712,2022-02-17,ACQ-SPAC.ST,,,-476.259,,1.01,172.84848000000002,2022-02-25,Q4-2021,Financials,-0.002035002035002035,,0.037700001516546955,3.3351098367825784,0.1198529813661241,0.10436745534931688,0.10360265124952713
8,1015,AddLife,Biotechnology,94.906,-13.073,0.754,2857.0,10596.0,0.18655000000000002,25714.5,68.893,0.16756000000000001,-1967.0,4291.0,-0.38053,-0.37238,0.23977,Sweden,Large Cap,ALIF B,29.703,2022-02-04,ALIF-B.ST,0.22807,0.009519999999999999,34.879,3.217,5.993,1.5532499999999998,2022-02-25,Q4-2021,Health Care,-0.45840130505709625,0.26963004907512267,-0.21705556604558052,-3.3664887753883708,0.6171148825560653,0.5260770208413167,0.5909264089559366
9,7,Addnode,IT Consulting,13.516,336.32,0.943,2309.0,4322.0,0.13997,13116.48,44.321,0.13172,39.0,1693.0,0.08939,0.023620000000000002,0.66173,Sweden,Mid Cap,ANOD B,44.211,2022-02-04,ANOD-B.ST,0.64905,0.00769,58.637,3.217,7.747,0.13201000000000002,2022-02-25,Q4-2021,Technology,0.02303603071470762,0.534243405830634,0.05203771237512522,1.0275764642555272,0.38916542092781964,0.3378796337725555,0.46413432819156536
10,8,Addtech,Industrial Components,60.363,147.482,1.153,4023.0,11321.0,0.20126999999999998,41737.48,49.341,0.23887,283.0,3952.0,-0.28504999999999997,-0.13559,0.285,Sweden,Large Cap,ADDT B,34.095,2022-02-08,ADDT-B.ST,0.275,0.00784,44.215,3.199,10.561,0.20912,2022-02-25,Q3-2022,Industrials,0.07160931174089069,0.3553573005918205,0.012558188795886327,0.23141915432314816,0.4056597831783489,0.3746249965285575,0.4973559852209606
11,2288,Advanced SolTech,Solar Energy,1.395,-5.759,0.067,125.175,1752.905,0.04559,1121.906,45.522,0.03212,-194.818,499.455,-0.54562,-0.8257800000000001,-0.95011,Sweden,First North,ASAB,31.644,2022-02-24,ASAB.ST,,,43.364,9.56,2.246,0.39446,2022-02-25,Q4-2021,Utilities,-0.3900611666716722,0.07141003077748082,0.04680996930573078,0.5919598825294119,1.0848797462946973,0.9377929848926674,0.7247458280634844
12,420,Advenica,Security & Surveillance,0.555,-10.734,0.798,71.909,126.864,-0.47487,414.202,62.955,-0.43004,-38.586,39.571,-0.1374,-0.35977,1.26908,Sweden,First North,ADVE,-27.181,2022-02-17,ADVE.ST,1.26908,,-24.343,4.09,10.467,0.26457,2022-02-25,Q4-2021,Technology,-0.9751080336610144,0.5668195863286669,-0.04841748136403545,-0.7592575706406538,0.7374346705852263,0.6668217747308357,0.5844571905225492
13,1700,Africa Energy,Oil & Gas -Exploration,2.834,-11.114,,-21.227,2092.359,-0.01853,2565.038,53.76,-0.01693,-230.785,2078.491,0.03092,-0.12249,-0.07654,Sweden,First North,AEC,-67.257,2021-11-10,AEC.ST,-0.07654,,-72.778,,1.234,1.3903100000000002,2022-02-25,Q3-2021,Energy,-0.11103488059366146,-0.0101450085764441,-0.03383362588927885,-0.8220107576585778,0.43105076676170967,0.37169514686939165,0.37723387492900906
14,258,Africa Oil,Oil & Gas -Exploration,33.158,4.634,0.226,2213.971,8636.454,0.23592,9020.877,54.796,0.24858,1946.585,8030.7,0.35231,0.65217,1.20418,Sweden,Mid Cap,AOI,4.585,2021-11-15,AOI.ST,1.20418,,4.502,4.615,1.123,0.012580000000000001,2022-02-25,Q3-2021,Energy,0.2423929420847498,0.2563518545921741,0.047843875750120946,1.0413123792806225,0.43177437549837694,0.3976911186567614,0.42109973246732396
15,241,AFRY,Business Consultants,58.57,71.485,0.776,7838.0,25913.0,0.09580999999999999,20373.131,29.985,0.1027,285.0,10992.0,-0.29835999999999996,-0.37404000000000004,-0.18037,Sweden,Large Cap,AFRY,15.718,2022-02-04,AFRY.ST,-0.20469,0.03057,18.053,1.013,1.853,0.09754,2022-02-25,Q4-2021,Industrials,0.025927947598253277,0.3024736618685602,-0.045119084495010675,-1.4589338657672748,0.2576104824555034,0.23784680179923945,0.2834420734715838
