,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,OCF,Total Equity,EV,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,EV/S,P/B,Cash.f.Fin.,Info - Stock price,Info - Report,Sector,CF_prof,GPA,Financing_Yield,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
0,51,Clas Ohlson,Retailers,15.041,7.614,1.477,3604.8,5948.6,0.22275999999999999,6307.44,32.207,0.23518999999999998,986.1,2221.6,7640.54,-0.0737,0.11207,Sweden,Mid Cap,CLAS B,10.621,2022-06-08,CLAS-B.ST,0.13521,11.657,0.87,2.839,-909.2,2022-08-26,Q4-2022,Consumer Durables,0.16577009716571967,0.6059913256900783,-0.15284268567394008,-0.008644927893273757,-0.2671780534773203,0.36850402381941827,0.2950317255879908,0.2965515762448278,0.882699189556342,12.180115559521347,-4.457348420318474,-0.28803125469605706
1,27,BE Group,Industrial Components,7.37,16.993,1.621,1384.0,4178.0,0.36311,1376.458,70.947,0.41706000000000004,126.0,1688.0,2161.458,-0.17984000000000003,0.43309,Sweden,Small Cap,BEGR,2.473,2022-07-13,BEGR.ST,0.11342,1.953,0.319,0.815,-107.0,2022-08-26,Q2-2022,Industrials,0.03015797032072762,0.331258975586405,-0.025610339875538537,0.05454773452864892,0.6932874269838127,0.6707903774139313,0.649522203346544,0.721112521983545,0.8097093930291148,6.090625567023224,-4.006081773514435,-0.2050278423912445
2,1632,SSAB B,Mining - Steel & Aluminum,201.876,3.186,0.859,37051.0,139324.0,0.35394,51100.41,42.808,0.26064,18895.0,91919.0,43937.41,-0.00301,0.31804,Sweden,Large Cap,SSAB B,1.403,2022-07-22,SSAB-B.ST,0.1058,2.132,0.367,0.556,-5163.0,2022-08-26,Q2-2022,Materials,0.13561913238207343,0.2659340817088226,-0.037057506244437426,-0.004503752495716107,-0.08961214201513136,0.41806526835179586,0.40628540144958125,0.4606247827326882,1.136988244098549,14.492918201292866,15.211749241615767,0.1785863561772969
3,349,Tethys Oil,Oil & Gas -Exploration,11.082,15.674,0.477,736.95,2376.6,0.14198,2198.291,57.976,0.14543,741.2,2168.35,1856.59,0.00605,0.41354,Sweden,Mid Cap,TETY,6.721,2022-08-09,TETY.ST,0.10532,6.871,1.636,1.014,-196.35,2022-08-26,Q2-2022,Energy,0.3118741058655222,0.3100858369098713,-0.08261802575107297,-0.018905760778402003,-0.267179542526083,0.5476061448936096,0.5028507999249021,0.6485307895854086,0.8049954550485735,18.485888854812462,10.450544528985253,0.11856255857469344
4,184,ProfilGruppen,Industrial Components,1.205,-9.991,1.516,344.8,1729.3,0.31707,958.17,80.527,0.29063,4.0,526.1,1372.97,0.036000000000000004,0.12598,Sweden,Small Cap,PROF B,6.089,2022-07-14,PROF-B.ST,0.10425000000000001,6.062,0.524,1.821,61.3,2022-08-26,Q2-2022,Industrials,0.0023130746544844736,0.19938703521656162,0.035447869079974555,-0.14830949172847263,-1.555624028925097,0.6108922308288635,0.5138135551994156,0.8737837157166688,0.5560784457608539,3.2953593414564755,4.92079078137712,0.08933569471894542
5,38,Björn Borg,Clothing & Footwear,1.233,4.686,1.345,456.369,601.59,0.27059,671.452,48.25,0.25157,151.848,296.417,722.374,-0.45118,-0.24936,Sweden,Small Cap,BORG,7.453,2022-08-19,BORG.ST,0.09362999999999999,9.004,0.893,2.265,-166.734,2022-08-26,Q2-2022,Consumer Durables,0.2524111105570239,0.7586046975514885,-0.2771555378247644,-0.22960892902253272,-4.5222120391726985,0.5133494695060344,0.408525868188522,0.4653476167720744,0.8550081370840749,-2.1331547047815493,-8.536762786760056,-0.3790293145749202
6,45,Byggmax,Retailers,10.532,-8.009,1.117,2591.0,6728.0,0.17961,2506.805,44.129,0.20247,197.0,2188.0,4948.805,-0.33602,-0.38634999999999997,Sweden,Mid Cap,BMAX,7.868,2022-07-15,BMAX.ST,0.09355000000000001,5.659,0.658,1.146,163.0,2022-08-26,Q2-2022,Consumer Durables,0.029280618311533887,0.38510701545778836,0.024227110582639714,-0.12121675478329808,-2.5380012900479567,0.39337015780287204,0.36254579255737895,0.4377341780475357,0.8965081681377283,-16.324514324710208,-23.101077769106293,-0.5050458116050178
7,1325,Bonava B,Real Estate,12.42,-3.027,0.634,2355.0,26632.0,0.09653,4144.424,46.471,0.11747999999999999,-1297.0,8771.0,10025.42,-0.43877000000000005,-0.53644,Sweden,Mid Cap,BONAV B,7.404,2022-07-21,BONAV-B.ST,0.09158,3.972,0.594,0.473,813.0,2022-08-26,Q2-2022,Financials,-0.048700811054370685,0.08842745569240013,0.030527185340943227,0.103756517184316,2.496230458463885,0.3979396496897148,0.3745418330054257,0.3809520809506568,1.2962153885643113,-4.278375258952372,-2.7495991863251277,-0.5113744387397494
8,157,Nobia,Home Furnishings,6.071,-67.533,1.376,5444.0,10458.0,0.11571,4727.333,41.039,0.10532,1529.0,4377.0,6775.333,-0.32326,-0.56398,Sweden,Mid Cap,NOBI,9.543,2022-07-19,NOBI.ST,0.09006,10.168,0.471,1.08,195.0,2022-08-26,Q2-2022,Consumer Durables,0.14620386307133296,0.520558424172882,0.018646012621916237,-0.06625260543038891,-1.3871494796129094,0.38595791471855545,0.35336887402005657,0.43774313271201704,1.0938921935524872,-15.85839106758834,-5.065525450389036,-0.45310703387540274
9,217,Swedbank,Banks,367.069,-0.893,0.016,59194.0,2912005.0,0.00981,153668.0,28.6,0.12168,-173167.0,161578.0,153668.0,-0.12958,-0.13192,Sweden,Large Cap,SWED A,6.3,2022-07-19,SWED-A.ST,0.08287000000000001,7.75,3.292,0.951,-11229.0,2022-08-26,Q2-2022,Financials,-0.05946658745434846,0.0203275749869935,-0.003856106016301483,0.0012693623441892843,0.03591108461646421,0.28276066833913643,0.23506065284639943,0.3239639843073455,0.8679801157629005,2.5954350999318128,-2.8255969246543597,-0.2567529995508694
10,1710,Arion Banki,Banks,1.234,4.474,0.039,3114.936,112052.203,0.023690000000000003,19992.4,27.903,0.1275,4354.479,14848.19,19992.4,-0.04473,0.25702,Sweden,Large Cap,ARION SDB,7.982,2022-07-27,ARION-SDB.ST,0.08233,10.498,4.602,1.346,-3245.346,2022-08-26,Q2-2022,Financials,0.038861163666724166,0.027798971520443916,-0.02896280406017542,-0.008421021667473383,-0.24970404492757461,0.2900308602014886,0.282977592538415,0.3090856556308717,0.5368143102413815,5.609572439181113,5.722318546432505,0.10128992272806703
