,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Performance - Perform. 1y.1,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
0,0,1398,AAC Clyde Space,Satellite Systems,7.397,-8.298,0.169,107.01,868.62,-0.06865,512.213,53.459,-0.0661,-61.729,674.869,-0.0448,-0.15798,-0.28933,Sweden,First North,AAC,-9.484,2021-11-25,AAC.ST,-0.28933,,-11.141,3.497,0.759,0.7234999999999999,2022-01-28,Q3-2021,Technology,-0.0914681219614473,0.1231954134143814,-0.079218840190996,-1.4836929599375095,0.5208225342801145,0.4624792602759548,0.4893550639441454
1,1,2,AAK,Food Processing,43.56,99.353,1.282,7667.0,25197.0,0.15367,44708.789,18.874,0.12493,450.0,11097.0,-0.07809,-0.14803,0.10124,Sweden,Large Cap,AAK,23.802,2021-10-29,AAK.ST,0.10124,0.0133,31.86,1.384,4.029,0.13782,2022-01-28,Q3-2021,Food and Beverage,0.040551500405515,0.304282255824106,-0.0270321214497254,-1.818421948585204,0.175084917853261,0.1691385051489575,0.1362464227128216
2,2,3,ABB,Industrial Machinery,362.843,30.906,0.594,77422.797,334555.188,0.17058,646946.875,22.788,0.14362,20932.801,117188.398,0.1126399999999999,-0.0028499999999999,0.2603999999999999,Sweden,Large Cap,ABB,23.763,2021-10-22,ABB.ST,0.2603999999999999,0.02373,38.534,3.258,5.521,-0.10028,2022-01-28,Q3-2021,Industrials,0.178625199740336,0.2314201057913351,-0.074083412223036,-4.414413385210356,0.2110881149197186,0.1916139502366992,0.1538110795831151
3,3,437,Absolent Air Care,Installation,1.296,-255.094,0.957,392.235,1030.605,0.0939199999999999,5037.845,40.198,0.08084,-19.749,349.644,-0.07676,0.06971,0.06205,Sweden,First North,ABSO,91.421,2021-11-12,ABSO.ST,0.06205,0.00404,178.249,5.108,14.408,-0.1096,2022-01-28,Q3-2021,Industrials,-0.0564831657342897,0.3805871308600288,0.0375107431277972,0.8825117067138809,0.3472065076146335,0.3177714328498931,0.3895604295091934
4,4,1323,AcadeMedia,Education,13.838,2.444,0.76,11097.0,17897.0,0.08949,5649.133,35.783,0.1113599999999999,2311.0,5415.0,-0.07931,-0.34479,-0.32234,Sweden,Mid Cap,ACAD,6.034,2021-10-29,ACAD.ST,-0.32234,0.03277,9.311,0.415,1.043,0.06094,2022-01-28,Q1-2022,Industrials,0.4267774699907664,0.6200480527462703,0.0002565216980782,0.0063178310813349,0.3546334337077861,0.3064697837262728,0.3721309049603905
5,5,2198,Acast,Online Services,7.157,-15.471,0.51,343.383,1821.784,-1.08463,3333.333,69.175,-0.2013299999999999,-215.461,1505.824,-0.23061,-0.3824499999999999,-0.94076,Sweden,First North,ACAST,-10.346,2021-11-09,ACAST.ST,,,-11.251,3.588,2.214,,2022-01-28,Q3-2021,Technology,-0.1430851148607008,0.1884872191214765,0.0626078485692926,1.128278577162068,0.6326290781592205,0.5778620197335047,0.508571572614207
6,6,1572,Acconeer,Measuring & Analysis,9.697,-28.137,0.255,21.222,102.092,-1.16277,1461.375,67.206,-0.54659,-51.938,90.252,-0.1402999999999999,0.01133,1.21239,Sweden,First North,ACCON,-28.669,2021-10-29,ACCON.ST,1.21239,,-29.52,56.2,16.192,-0.28362,2022-01-28,Q3-2021,Industrials,-0.5754775517440057,0.2078713317399992,0.1192717811251109,1.8055487921270053,0.6918889410310097,0.6751657386224084,0.6054358294401379
7,7,2107,ACQ Bure SPAC,Investment Banking,4.43,630.625,,,3454.9,-0.00151,3531.5,10.953,-0.00137,5.6,3442.3,-0.01465,-0.03905,-0.94076,Sweden,Mid Cap,ACQ SPAC,-682.872,2021-10-22,ACQ-SPAC.ST,,,-751.863,,1.026,,2022-01-28,Q3-2021,Financials,0.0016268192778084,,-0.0236675883326518,-2.0215192975539797,0.1208889738839772,0.1049779882317153,0.1073039621067822
8,8,1015,AddLife,Biotechnology,69.774,-16.831,0.745,2684.0,10195.0,0.1975799999999999,31592.1,56.481,0.18585,-1877.0,4084.0,-0.27119,-0.07923,0.75749,Sweden,Large Cap,ALIF B,34.587,2021-10-22,ALIF-B.ST,0.75749,0.0058099999999999,40.302,4.161,7.736,1.83273,2022-01-28,Q3-2021,Health Care,-0.4595984329089128,0.2632663070132418,0.0151578277190684,0.2335993693039236,0.5270853348901976,0.4914071796569266,0.5947095927588572
9,9,7,Addnode,IT Consulting,15.709,-185.243,1.0,2214.0,3883.0,0.12179,11670.3,42.629,0.11928,-63.0,1660.0,-0.00573,-0.06089,0.30943,Sweden,Mid Cap,ANOD B,44.197,2021-10-29,ANOD-B.ST,0.30943,0.0072,58.759,3.005,7.03,0.07295,2022-01-28,Q3-2021,Technology,-0.0379518072289156,0.5701776976564512,0.0077094382887767,0.1511763921290946,0.3675235081370341,0.3151584422459008,0.4673889094236589
