,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility
0,0,2,AAK,Food Processing,43.047,-309.025,1.305,7941.0,27166.0,0.14911,43881.563,20.794,0.12146,-142.0,11783.0,-0.10658,-0.18507,-0.0619,Sweden,Large Cap,AAK,22.833,2022-02-04,AAK.ST,0.01473,30.291,1.231,3.724,0.21941,Q4-2021,Food and Beverage,-0.0120512602902486,0.2923139218140322,0.021856825249245,0.939450507538985,0.1809979270652087,0.1752827839838896,0.2132322146878632
1,1,3,ABB,Industrial Machinery,355.859,13.112,0.59,79522.797,338184.0,0.27848,620871.955,24.179,0.28984,47350.801,130863.602,-0.05647,-0.08169,0.2357999999999999,Sweden,Large Cap,ABB,12.909,2022-02-03,ABB.ST,0.02483,15.575,2.554,4.744,-0.02015,Q4-2021,Industrials,0.3618332391614897,0.2351465385707189,-0.0117264879021167,-0.4697604945971795,0.2133861613860754,0.1951506102393755,0.2287868778472477
2,2,437,Absolent Air Care,Installation,1.086,-209.234,0.957,392.235,1030.605,0.0939199999999999,4132.165,38.167,0.08084,-19.749,349.644,-0.24431,-0.15313,-0.09429,Sweden,First North,ABSO,75.558,2021-11-12,ABSO.ST,0.00493,146.205,4.19,11.818,-0.1096,Q3-2021,Industrials,-0.0564831657342897,0.3805871308600288,0.0375107431277972,0.8825117067138809,0.356916938481397,0.3252476944161656,0.3895604295091934
3,3,1323,AcadeMedia,Education,14.207,1.969,0.761,11382.0,18330.0,0.09407,4945.636,33.351,0.12074,2512.0,5425.0,-0.18126,-0.39755,-0.4284799999999999,Sweden,Mid Cap,ACAD,4.933,2022-02-01,ACAD.ST,0.03743,7.504,0.355,0.912,0.05642,Q2-2022,Industrials,0.4630414746543779,0.6209492635024549,0.0039691021037095,0.1254225151255735,0.3609161103064967,0.3198946245807568,0.2900390063625673
4,4,2198,Acast,Online Services,13.17,-23.277,0.55,373.476,1864.981,-1.36358,3302.704,70.88,-0.20096,-141.889,1494.808,-0.33259,-0.33846,-0.95301,Sweden,First North,ACAST,-8.957,2022-02-11,ACAST.ST,,-10.995,3.22,2.209,1.71216,Q4-2021,Technology,-0.0949212206517492,0.2002572680365108,-0.0039226607239044,-0.0438859424801426,0.6372897341236952,0.5736069441083407,0.8192094633062108
5,5,1572,Acconeer,Measuring & Analysis,7.783,-18.278,0.14,27.544,223.223,-1.19283,1017.266,67.365,-0.25608,-55.656,199.698,-0.53029,-0.32045,0.4381799999999999,Sweden,First North,ACCON,-16.837,2022-02-18,ACCON.ST,,-18.021,32.65,5.094,0.7379300000000001,Q4-2021,Industrials,-0.2787008382657813,0.1233923027645,-0.128069094682418,-1.7254239556638291,0.7152686507610085,0.6988724611715444,0.6802807143602593
6,6,2107,ACQ Bure SPAC,Investment Banking,4.674,-491.1,,,3442.2,-0.00233,3437.7,10.798,-0.00212,-7.0,3439.8,-0.03517,-0.0294499999999999,-0.95301,Sweden,Mid Cap,ACQ SPAC,-428.534,2022-02-17,ACQ-SPAC.ST,,-471.079,,0.999,172.84848000000002,Q4-2021,Financials,-0.002035002035002,,0.0377000015165469,3.3351098367825784,0.1190195821806405,0.1036079257454962,0.1036026512495271
7,7,1015,AddLife,Biotechnology,93.823,-11.94,0.754,2857.0,10596.0,0.18655,23485.91,69.114,0.16756,-1967.0,4291.0,-0.40656,-0.42124,0.12164,Sweden,Large Cap,ALIF B,27.466,2022-02-04,ALIF-B.ST,0.01043,31.856,2.938,5.473,1.5532499999999998,Q4-2021,Health Care,-0.4584013050570962,0.2696300490751226,-0.2170555660455805,-3.3664887753883708,0.6176391754241918,0.5288091053982752,0.5909264089559366
8,8,7,Addnode,IT Consulting,13.096,313.467,0.943,2309.0,4322.0,0.13997,12225.232,45.788,0.13172,39.0,1693.0,0.00972,-0.05215,0.537,Sweden,Mid Cap,ANOD B,41.289,2022-02-04,ANOD-B.ST,0.00825,54.653,2.999,7.221,0.13201,Q4-2021,Technology,0.0230360307147076,0.534243405830634,0.0520377123751252,1.0275764642555272,0.3963912075986867,0.3419331706619163,0.4641343281915653
9,9,8,Addtech,Industrial Components,58.569,140.735,1.153,4023.0,11321.0,0.2012699999999999,39827.924,49.669,0.23887,283.0,3952.0,-0.29808,-0.17978,0.21667,Sweden,Large Cap,ADDT B,32.66,2022-02-08,ADDT-B.ST,0.00822,42.192,3.052,10.078,0.20912,Q3-2022,Industrials,0.0716093117408906,0.3553573005918205,0.0125581887958863,0.2314191543231481,0.4076469372834828,0.3772510158467433,0.4973559852209606
10,10,2288,Advanced SolTech,Solar Energy,1.448,-4.82,0.077,127.889,1480.212,0.055,1076.382,113.964,-0.13719,-223.319,311.892,-0.5279200000000001,-0.81553,-0.95301,Sweden,First North,ASAB,29.301,2021-11-30,ASAB.ST,,-14.092,6.935,3.451,,Q3-2021,Utilities,-0.7160138765983096,0.0863991103976997,-0.029839313926474,-0.1638979639622422,1.1028656543815292,0.9604135803602804,1.6686102920121575
11,11,1700,Africa Energy,Oil & Gas -Exploration,2.643,-11.211,,-21.227,2092.359,-0.01853,2587.416,54.19,-0.01693,-230.785,2078.491,0.02323,-0.09756,-0.06848,Sweden,First North,AEC,-67.869,2021-11-10,AEC.ST,,-73.413,,1.245,1.3903100000000002,Q3-2021,Energy,-0.1110348805936614,-0.0101450085764441,-0.0338336258892788,-0.8220107576585778,0.4323441593112532,0.3742567811338701,0.377233874929009
12,12,258,Africa Oil,Oil & Gas -Exploration,26.238,4.871,0.226,2213.971,8636.454,0.23592,9481.417,55.603,0.24858,1946.585,8030.7,0.36221,0.7365200000000001,1.3167099999999998,Sweden,Mid Cap,AOI,4.823,2021-11-15,AOI.ST,,4.731,4.283,1.181,0.01258,Q3-2021,Energy,0.2423929420847498,0.2563518545921741,0.0478438757501209,1.0413123792806225,0.4304532897494892,0.3949220111403625,0.4210997324673239
13,13,241,AFRY,Business Consultants,58.673,69.238,0.776,7838.0,25913.0,0.0958099999999999,19732.852,30.447,0.1027,285.0,10992.0,-0.31647,-0.3905599999999999,-0.2294399999999999,Sweden,Large Cap,AFRY,15.297,2022-02-04,AFRY.ST,0.0315499999999999,17.491,0.982,1.795,0.09754,Q4-2021,Industrials,0.0259279475982532,0.3024736618685602,-0.0451190844950106,-1.4589338657672748,0.2630567243504464,0.2426669440530545,0.2834420734715838
14,14,1358,Alcadon Group,Electrical Components,5.585,-45.581,1.019,77.4,722.8,0.13792,1413.0,54.411,0.13824,-31.0,340.5,-0.17241,0.30909,1.13018,Sweden,First North,ALCA,23.781,2022-02-22,ALCA.ST,0.0069399999999999,27.433,1.919,4.15,0.57576,Q4-2021,Industrials,-0.0910425844346549,0.1070835639180963,-0.0792301270391959,-1.3582523635509431,0.4553243595672041,0.392677060451104,0.5346253232777316
15,15,10,Alfa Laval,Industrial Components,254.433,494.221,0.636,14510.0,64361.0,0.16241,118118.81,30.693,0.14714,239.0,32096.0,-0.24077,-0.19405,0.06546,Sweden,Large Cap,ALFA,20.428,2022-02-02,ALFA.ST,0.02131,24.735,2.887,3.68,0.05753,Q4-2021,Industrials,0.0074464107676969,0.2254470875219465,-0.0247718924101955,-0.7289264024803997,0.2697406314677398,0.2484747229442982,0.3114692284179552
16,16,2146,Aligro Planet SPAC,Investment Banking,0.732,,,,,,1177.5,9.097,,,,-0.02887,-0.0258499999999999,-0.95301,Sweden,Mid Cap,APAC SPAC A,,,APAC-SPAC-A.ST,,,,,,Q4-2020,Financials,,,-0.0008568871941454,-0.0170284060243271,0.09097,0.3790477728090277,0.4612
17,17,739,Alimak,Installation,9.399,10.19,0.632,1271.5,5901.7,0.09939,5524.116,29.377,0.08007,542.1,3840.4,-0.08929,-0.29558,-0.2522,Sweden,Mid Cap,ALIG,13.082,2022-02-10,ALIG.ST,0.03235,17.965,1.482,1.438,0.05024,Q4-2021,Industrials,0.1411571711280075,0.2154463968009217,0.0708356504085394,2.532712621917272,0.2667644168447054,0.2503576238514207,0.2563336456647268
18,18,1385,Alligator Bioscience,Biotechnology,0.983,-3.966,0.039,-71.856,333.2,-18.53916,504.037,66.47,-0.50212,-127.078,282.273,0.04817,-0.61205,-0.6401600000000001,Sweden,Small Cap,ATORX,-1.664,2022-02-11,ATORX.ST,,-3.556,33.323,1.786,1.193,Q4-2021,Health Care,-0.4501953782331289,-0.2156542617046818,0.0481353860828579,0.8086711578009494,0.5919345452699284,0.4555333235360824,0.5455469709849999
19,19,1477,Alligo,Industrial Components,1.414,14.557,0.976,3521.0,8679.0,0.0755,8704.926,41.301,0.0843999999999999,598.0,3429.0,-0.16381,-0.10565,0.21969,Sweden,Mid Cap,ALLIGO B,25.707,2022-02-15,ALLIGO-B.ST,0.01023,29.664,1.023,2.539,0.45866,Q4-2021,Industrials,0.1743948673082531,0.4056918999884779,-0.0178452366919289,-0.4239187198947191,0.4199871091965204,0.3894864322516865,0.3858152239914162
20,20,364,ALM Equity,Real Estate,1.191,-14.962,0.187,217.0,12802.0,0.00908,23760.424,39.487,0.03789,-1588.0,4856.0,0.03913,0.2132,0.36571,Sweden,First North,ALM,386.111,2021-11-25,ALM.ST,0.00126,53.037,9.937,4.893,0.39031,Q3-2021,Financials,-0.3270181219110379,0.0169504764880487,0.1059692825839573,3.551671961475644,0.3259576806932323,0.2842943514654958,0.2734555803849568
21,21,1419,Ambea,Healthcare Facilities,16.473,4.338,0.688,9849.0,16674.0,0.04847,4121.56,40.301,0.05232,950.0,4530.0,-0.24767,-0.28882,-0.3890599999999999,Sweden,Mid Cap,AMBEA,23.315,2022-02-09,AMBEA.ST,0.0264,17.357,0.353,0.91,0.1329,Q4-2021,Health Care,0.2097130242825607,0.5906801007556675,-0.057455943259034,-1.4585200408740568,0.3435983377995199,0.3073321867894342,0.3610457199502366
22,22,2048,Annehem Fastigheter,Real Estate,1.199,-2.05,0.073,238.1,3954.0,0.04396,1760.941,29.344,0.09802,-859.2,2208.7,-0.21859,-0.204,0.07181,Sweden,Mid Cap,ANNE B,19.108,2021-10-29,ANNE-B.ST,,8.134,5.1,0.797,,Q3-2021,Financials,-0.389007108253724,0.0602175012645422,0.0375582866886656,1.0885217497478887,0.3296663518489299,0.299363090965438,0.3162338129918412
23,23,505,AQ Group,Industrial Components,2.925,-30.251,1.164,2748.0,4699.0,0.14504,4628.382,39.249,0.13932,-153.0,2615.0,-0.13058,-0.1745499999999999,-0.09643,Sweden,Mid Cap,AQ,11.635,2022-02-17,AQ.ST,0.01316,12.646,0.824,1.77,0.2159499999999999,Q4-2021,Industrials,-0.0585086042065009,0.5848052777186635,0.011997733477454,0.3029353562742278,0.3576115475868102,0.3340507314838574,0.3629851761414639
24,24,296,Arcane Crypto,Internet Transactions,3.663,-8.741,0.996,15.926,187.217,-0.17839,710.226,91.168,-0.92176,-81.254,164.424,-0.53611,-0.59069,-0.71599,Sweden,First North,ARCANE,-31.337,2021-10-29,ARCANE.ST,,-4.691,3.804,4.319,39.72591,Q3-2021,Technology,-0.4941735999610762,0.0850670612177312,0.065985216612515,0.7216937992889901,0.9823192781460892,0.867425753844674,0.8379793485071185
25,25,381,Arctic Paper,Forest & Wood Products,0.634,-76.48,1.382,1345.515,5121.378,0.11315,1272.128,44.057,0.07416,-16.633,1878.28,0.03262,0.11004,0.2405399999999999,Sweden,Small Cap,ARP,4.569,2021-05-19,ARP.ST,0.03644,6.671,0.18,0.677,0.08134,Q3-2021,Materials,-0.0088554422130885,0.2627251884160865,-0.0161959741720912,-0.3574240565176627,0.4023159389858011,0.3692822570858582,0.4153009639041484
26,26,1710,Arion Banki,Banks,2.092,4.311,0.041,3184.92,106423.0,0.02732,22410.0,26.959,0.147,5198.175,15762.44,0.02896,0.20536,0.69598,Sweden,Large Cap,ARION SDB,8.137,2022-02-09,ARION-SDB.ST,0.00839,10.101,5.127,1.422,0.12037,Q4-2021,Financials,0.3297823814079546,0.0299269894665626,0.0438441668322273,1.6048863914946532,0.3050677511414638,0.2931807572885138,0.2503843441576387
27,27,14,Arise Windpower,Wind Energy,3.638,75.202,0.184,232.0,1511.0,0.07322,1428.83,51.033,0.08432,19.0,676.0,-0.09004,-0.1040199999999999,-0.15965,Sweden,Small Cap,ARISE,24.479,2022-02-17,ARISE.ST,,25.068,5.14,2.114,0.06559,Q4-2021,Utilities,0.0281065088757396,0.1535407015221707,-0.0070598641871518,-0.1389202070299187,0.4709052470816768,0.4436447429011903,0.4657689867502679
28,28,1574,Arjo,Medical Supplies,53.127,19.255,0.621,4209.0,14612.0,0.14511,20005.576,41.878,0.1077699999999999,1039.0,6885.0,-0.354,-0.32242,0.20311,Sweden,Large Cap,ARJO B,22.606,2022-02-03,ARJO-B.ST,0.01566,26.962,2.206,2.906,0.05441,Q4-2021,Health Care,0.1509077705156136,0.2880509170544758,-0.0635173315268656,-1.5753251810810758,0.3484847379207902,0.3069849281999733,0.3695401853015725
29,29,2197,Aros Bostadsutveckling,Real Estate,3.511,15.779,0.134,,977.35,0.26478,2303.645,34.701,0.15835,145.996,819.246,-0.01119,-0.03461,-0.95301,Sweden,First North,AROS,15.278,2021-11-26,AROS.ST,,13.177,12.047,2.812,,Q3-2021,Financials,0.1782077666537279,,0.0592460251749409,2.073932098083592,0.2894300691250051,0.2589682924858107,0.2618209103762886
30,30,1793,Ascelia Pharma,Pharmaceuticals,3.033,-6.198,,,333.493,-2.94836,722.638,38.991,-0.409,-116.597,307.834,-0.30333,-0.25755,-0.4921,Sweden,Small Cap,ACE,-3.346,2022-02-10,ACE.ST,,-5.61,,2.347,0.3059,Q4-2021,Health Care,-0.3787658283360512,,0.0147819974675516,0.3350889811071882,0.3930908555062526,0.3705522879892331,0.4043082651890138
31,31,1473,Aspire Global,Gambling & Casinos,18.719,8.85,0.983,760.324,2254.295,0.28465,4994.266,68.516,0.63144,564.322,1362.97,0.30351,0.46269,0.85223,Sweden,First North,ASPIRE,15.671,2022-02-17,ASPIRE.ST,,5.759,2.254,3.664,0.4822099999999999,Q4-2021,Consumer Durables,0.4140384601275156,0.3372779516434184,0.0483968428766107,0.5998062510943565,0.4952932366798765,0.3783758954532951,0.7395127859181451
32,32,17,Assa Abloy,Construction Supplies,402.918,29.009,0.731,37777.0,129975.0,0.15027,271579.802,28.274,0.15663,9362.0,69583.0,-0.08336,-0.12572,0.12592,Sweden,Large Cap,ASSA B,21.06,2022-02-04,ASSA-B.ST,0.01721,24.875,2.859,3.903,0.10685,Q4-2021,Industrials,0.1345443570987166,0.2906482015772264,0.0976380174806357,3.471969700923778,0.2410956763902983,0.2180516908001724,0.2577405014170413
33,33,18,AstraZeneca,Pharmaceuticals,599.061,-40.038,0.355,210831.203,889263.812,0.01381,1721715.504,26.28,0.0028499999999999,-43001.801,331421.906,0.07821,0.09349,0.33285,Sweden,Large Cap,AZN,216.209,2022-02-10,AZN.ST,0.01618,1758.784,5.452,5.195,0.57897,Q4-2021,Health Care,-0.1297494227795551,0.2370851036047782,0.0364078624300761,1.2234844828985192,0.235978220913616,0.2150284573306793,0.2727321642561464
34,34,19,Atlas Copco A,Industrial Machinery,619.326,33.811,0.811,46529.0,136683.0,0.3064,575827.768,32.078,0.26806,17031.0,67633.0,-0.17611,-0.22132,-0.05317,Sweden,Large Cap,ATCO A,24.788,2022-01-25,ATCO-A.ST,0.01623,31.453,5.192,8.514,0.20568,Q4-2021,Industrials,0.2518149424097703,0.3404154137676229,-0.0463433369484064,-1.4872416176805583,0.2672126652519312,0.2535534124783315,0.285591590496402
35,35,20,Atrium Ljungberg,Real Estate,20.835,-145.088,0.042,3084.0,54285.0,0.0317099999999999,25245.38,29.599,0.1471,-174.0,25541.0,-0.08366,-0.12833,0.18883,Sweden,Large Cap,ATRLJ B,27.678,2022-02-10,ATRLJ-B.ST,0.02744,6.39,8.186,0.988,0.09412,Q4-2021,Financials,-0.0068125758584237,0.0568112738325504,0.0408290079231707,1.2077091250339285,0.2607041095619324,0.2497927781673704,0.3098461632516449
36,36,920,Attendo,Healthcare Facilities,12.971,4.94,0.611,4182.0,21076.0,0.04332,4767.372,28.726,0.0113,965.0,4957.0,-0.12655,-0.30066,-0.35418,Sweden,Mid Cap,ATT,24.018,2022-02-10,ATT.ST,,84.885,0.37,0.962,0.0500199999999999,Q4-2021,Health Care,0.1946741981036917,0.1984247485291326,-0.0422444076957413,-1.2864929609806364,0.2782630130348897,0.250177617303514,0.3009549244742793
37,37,21,Autoliv,Auto & Equipment,206.085,34.853,1.092,12677.29,63235.43,0.14967,87726.106,29.674,0.16427,2517.0,22090.869,-0.05993,0.07292,0.1406,Sweden,Large Cap,ALIV SDB,17.049,2022-01-28,ALIV-SDB.ST,0.0251699999999999,20.6,1.27,3.971,-0.18481,Q4-2021,Consumer Durables,0.1139384783821768,0.2004776436247844,-0.0188639885301094,-0.558628219945964,0.2797977580251245,0.2589091903074623,0.3094926187451359
38,38,22,Avanza Bank,Retail & Mortgage Banks,142.523,20.422,0.012,2548.0,279082.0,0.00873,38986.343,37.243,0.43553,1909.0,4700.0,-0.27864,-0.17674,-0.02642,Sweden,Large Cap,AZA,15.998,2022-01-20,AZA.ST,0.03671,18.994,11.81,8.295,0.3628699999999999,Q4-2021,Financials,0.4061702127659574,0.0091299331379307,0.0256420398541135,0.7021667457003663,0.3496608899844369,0.3491766135536008,0.3346971052790154
39,39,1557,Awardit,Advertising,3.89,-55.06,0.563,127.136,688.935,0.07446,1858.928,53.871,0.05717,-33.762,282.245,-0.17712,0.14359,1.15459,Sweden,First North,AWRD,58.559,2021-11-12,AWRD.ST,0.01004,104.724,4.714,6.586,1.5041,Q3-2021,Consumer Durables,-0.1196194795301954,0.1845399057966281,0.1293351665669384,2.1524117491382,0.4739575111542867,0.4256739499125501,0.5507200850859717
40,40,24,Axfood,Food Retail,73.297,66.889,2.439,8946.0,23731.0,0.24721,50033.246,18.376,0.4153799999999999,748.0,4952.0,-0.02335,0.03833,0.20404,Sweden,Large Cap,AXFO,21.329,2022-02-03,AXFO.ST,0.03251,23.271,0.864,10.104,0.26135,Q4-2021,Food and Beverage,0.1510500807754442,0.3769752644220639,0.0694647213608796,3.55390236178141,0.1592520033269891,0.1458774541087651,0.179142425064083
41,41,1769,Azelio,Renewable Energy,13.793,-3.36,0.001,105.261,1280.351,-0.58664,937.445,99.791,-0.27803,-278.982,1100.942,-0.61549,-0.76591,-0.86076,Sweden,First North,AZELIO,-1.121,2021-11-19,AZELIO.ST,,-3.04,8.434,0.851,0.33486,Q3-2021,Utilities,-0.2534029948898307,0.0822126120103002,-0.0774809669006534,-0.7828245643127415,0.9001272011085287,0.7135102296308318,0.9071314619574548
42,42,1313,B3 Consulting,IT Consulting,1.455,11.269,1.647,283.5,559.7,0.3386099999999999,792.222,49.98,0.23279,70.3,194.6,0.32303,0.38938,1.2164700000000002,Sweden,Small Cap,B3,11.934,2022-02-18,B3.ST,0.0371499999999999,17.488,0.858,4.071,0.0927399999999999,Q4-2021,Technology,0.3612538540596094,0.5065213507236019,0.2333668976975584,4.687968921207882,0.4296996408270145,0.3951633806164337,0.4562408545663033
43,43,377,Bactiguard,Medical Equipment,1.253,-821.132,0.211,78.795,849.29,-0.09515,4240.324,34.082,-0.10855,-5.164,541.45,-0.23899,-0.30058,-0.16552,Sweden,Mid Cap,BACTI B,-78.814,2022-02-08,BACTI-B.ST,,-72.024,23.683,7.831,0.2578,Q4-2021,Health Care,-0.0095373534028996,0.092777496497074,-0.0434133116568212,-1.1774661599123788,0.3548031233514513,0.3316512479150439,0.3379201774272591
44,44,1517,Balco Group,Construction Supplies,3.039,-64.289,0.9,296.3,1245.6,0.14227,2545.826,39.546,0.13208,-39.6,692.0,-0.11836,-0.00853,0.47649,Sweden,Mid Cap,BALCO,22.397,2022-02-17,BALCO.ST,0.01721,27.854,2.272,3.679,0.01823,Q4-2021,Industrials,-0.0572254335260115,0.2378773281952473,0.0774868562448701,1.7189983905340678,0.3581521720495966,0.3275926468982369,0.4131352141591687
45,45,1450,Bambuser,Online Services,8.939,-6.308,0.159,-35.796,869.472,-0.89554,1639.702,66.671,-0.3003699999999999,-259.938,769.494,-0.50824,-0.45499,-0.67235,Sweden,First North,BUSER,-4.751,2022-02-11,BUSER.ST,,-7.094,9.832,2.131,1.28789,Q4-2021,Technology,-0.3378038035384291,-0.0411698134039969,-0.1827767948160368,-3.2985159779180013,0.6741756789019542,0.6219192172367842,0.5078577779420553
46,46,27,BE Group,Industrial Components,6.022,227.675,1.735,1102.0,3105.0,0.29827,1593.725,53.613,0.3503199999999999,7.0,1413.0,0.0040999999999999,0.51235,1.95894,Sweden,Small Cap,BEGR,2.954,2022-01-27,BEGR.ST,0.0979599999999999,3.213,0.296,1.128,0.28412,Q4-2021,Industrials,0.0049539985845718,0.3549114331723027,0.1209975820471807,2.281945917477926,0.5277671089705372,0.4546536047529645,0.4859717089620281
47,47,29,Beijer Alma,Industrial Components,16.181,-27.279,0.849,1744.9,6344.1,0.19768,13257.64,46.679,0.19909,-486.0,2854.0,-0.09278,0.03044,0.4492799999999999,Sweden,Mid Cap,BEIA B,18.82,2022-02-16,BEIA-B.ST,0.01591,23.333,2.46,4.645,0.3543,Q4-2021,Industrials,-0.1702873160476524,0.2750429532951876,0.02645522920312,0.5284983890054739,0.3833158651486904,0.3523997595712502,0.4587831973483962
48,48,30,Beijer Electronics,Computer Hardware,1.397,-17.834,0.757,,2139.075,0.05316,1664.74,60.715,0.04875,-93.348,729.196,-0.30218,-0.11128,0.39903,Sweden,Mid Cap,BELE,36.271,2022-01-27,BELE.ST,0.0087,45.989,1.02,2.283,0.13544,Q4-2021,Technology,-0.1280149644265739,,-0.034991916232027,-0.6499188964937107,0.5045938053639797,0.4752820536157787,0.4934557395081665
49,49,28,Beijer Ref,Installation,58.439,-86.233,1.105,,15300.0,0.14462,49928.902,48.106,0.18591,-579.0,5266.0,-0.25243,-0.31659,0.09625,Sweden,Large Cap,BEIJ B,40.054,2022-01-27,BEIJ-B.ST,0.00842,51.002,2.945,9.481,0.34116,Q4-2021,Industrials,-0.1099506266616027,,0.004098758819478,0.0813283957082491,0.3742467138161288,0.3527247303057773,0.4619019564336736
50,50,26,Bergman & Beving,Industrial Components,3.056,65.739,0.88,1904.0,5097.0,0.08402,3352.679,39.57,0.1059099999999999,51.0,1778.0,-0.17876,-0.25397,0.19569,Sweden,Mid Cap,BERG B,14.448,2022-02-09,BERG-B.ST,0.02455,17.052,0.746,1.886,0.07896,Q3-2022,Industrials,0.0286839145106861,0.3735530704335884,0.0369970438297913,0.9010264959559224,0.388931559017019,0.3777488015712526,0.3763302291343747
51,51,31,Bergs Timber,Forest & Wood Products,2.557,-9.916,1.319,1271.0,2316.0,0.27116,1556.809,39.119,0.25804,-157.0,1616.0,-0.11961,-0.13985,0.23352,Sweden,Small Cap,BRG B,4.178,2022-02-03,BRG-B.ST,0.06682,3.734,0.496,0.963,0.3696,Q4-2021,Materials,-0.0971534653465346,0.5487910189982729,0.0594342227509161,1.3114026627490485,0.5170181244044058,0.4778055980759283,0.4153748232537472
52,52,32,Betsson,Gambling & Casinos,42.689,10.289,0.727,4318.1,9175.4,0.2387999999999999,7471.916,44.854,0.18565,726.2,5816.3,0.00096,-0.3464399999999999,-0.23128,Sweden,Mid Cap,BETS B,6.281,2022-02-10,BETS-B.ST,0.07526,6.627,1.12,1.285,0.1101999999999999,Q4-2021,Consumer Durables,0.1248560081151247,0.4706170848137411,0.1359215716571873,3.468156119183874,0.4013581613984742,0.3606231587734878,0.3591942630558391
53,53,1694,Better Collective,Gambling & Casinos,15.209,-4.284,0.296,1155.536,6153.004,0.08863,8279.934,57.291,0.05014,-1932.867,3551.934,-0.19424,-0.1811299999999999,-0.29439,Sweden,Mid Cap,BETCO,20.075,2022-02-24,BETCO.ST,,42.849,4.54,2.331,0.89605,Q4-2021,Consumer Durables,-0.544173118081586,0.1878003004711194,-0.0404257337799007,-0.7344523598971836,0.520843305649643,0.4616905170054919,0.5044683499865461
54,54,1677,BHG Group,Retailers,50.346,-4.782,0.936,3372.0,13528.9,0.0665,8982.851,56.735,0.09233,-1878.6,5211.9,-0.30574,-0.47881,-0.44534,Sweden,Large Cap,BHG,15.809,2022-01-28,BHG.ST,,18.078,0.708,1.724,0.5677300000000001,Q4-2021,Consumer Durables,-0.3604443676970011,0.249244210541877,0.1167086934049821,1.9812576289151096,0.4745073833356883,0.4249006611454545,0.5398857917136022
55,55,1376,BICO Group,Medical Equipment,77.288,-1.962,0.129,1076.1,9754.6,-0.02773,9542.405,71.612,-0.03369,-4863.1,6773.9,-0.4872599999999999,-0.7201099999999999,-0.49781,Sweden,Large Cap,BICO,-40.837,2022-02-23,BICO.ST,,-37.201,6.635,1.409,2.88013,Q4-2021,Health Care,-0.717917300225867,0.110317183687696,0.0726247412184869,0.9803583109682296,0.6679338890858816,0.6131197279137677,0.6789525222295609
