,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m
0,0,1398,AAC Clyde Space,Satellite Systems,1.875,-7.626,0.204,127.591,880.341,-0.05916,436.522,58.046,-0.05817,-57.241,678.809,-0.25616,-0.18817,-0.14528,Sweden,First North,AAC,-9.076,2022-02-17,AAC.ST,,-10.694,2.071,0.643,0.38364,2022-03-30,Q4-2021,Technology,-0.084325635046088,0.1449336109530284,-0.0664111204892144,-0.9814305467326098,0.5224342287046531,0.4548529646471783,0.6201844595969638,1.520770664466898,2.4764820688305424,0.7334022976074306
1,1,2,AAK,Food Processing,50.677,-313.303,1.305,7941.0,27166.0,0.14911,44489.055,22.816,0.12146,-142.0,11783.0,-0.1187899999999999,-0.08821,-0.11223,Sweden,Large Cap,AAK,23.124,2022-02-04,AAK.ST,0.01453,30.711,1.248,3.776,0.21941,2022-03-30,Q4-2021,Food and Beverage,-0.0120512602902486,0.2923139218140322,0.021856825249245,0.928870132231186,0.1896208222193386,0.1835462443400823,0.2156610546094264,0.3991799177854273,-4.286522560075183,-1.99196367325614
2,2,3,ABB,Industrial Machinery,422.068,13.195,0.59,79522.797,338184.0,0.27848,624772.936,23.896,0.28984,47350.801,130863.602,-0.1189899999999999,0.03398,0.17271,Sweden,Large Cap,ABB,12.991,2022-02-03,ABB.ST,0.02467,15.673,2.57,4.774,-0.02015,2022-03-30,Q4-2021,Industrials,0.3618332391614897,0.2351465385707189,-0.0117264795082657,-0.4989066810713368,0.2124479234820941,0.1988632966595224,0.2154209675708581,0.9478163756527244,1.1628529803241854,0.5426638827796804
3,3,437,Absolent Air Care,Installation,0.613,-27.552,0.862,413.474,1194.979,0.04824,4392.548,60.712,0.01167,-159.428,355.092,-0.15098,-0.10185,-0.01269,Sweden,First North,ABSO,129.545,2022-02-24,ABSO.ST,0.00515,1059.82,4.265,12.37,0.0604399999999999,2022-03-30,Q4-2021,Industrials,-0.4489766032464826,0.3460094277807392,0.0217520569725996,0.6321103339714147,0.4818337097464956,0.3649017796877206,0.3153893940371414,0.5924828914462096,0.2525129811375766,-0.6717573902371871
4,4,1323,AcadeMedia,Education,15.924,2.148,0.761,11382.0,18330.0,0.09407,5395.239,36.478,0.12074,2512.0,5425.0,-0.08108,-0.15,-0.3892199999999999,Sweden,Mid Cap,ACAD,5.293,2022-02-01,ACAD.ST,0.03431,8.186,0.387,0.995,0.05642,2022-03-30,Q2-2022,Industrials,0.4630414746543779,0.6209492635024549,0.0039691021037095,0.1209998012891514,0.3760260521588934,0.3306640086215521,0.3006403421736603,0.850910509039103,-4.062183567344314,-0.513432935748358
5,5,2198,Acast,Online Services,11.729,-23.379,0.55,373.476,1864.981,-1.36358,3317.247,74.122,-0.20096,-141.889,1494.808,-0.1951399999999999,-0.32754,-0.93249,Sweden,First North,ACAST,-9.022,2022-02-11,ACAST.ST,,-11.299,3.234,2.219,1.71216,2022-03-30,Q4-2021,Technology,-0.0949212206517492,0.2002572680365108,-0.0039226607239044,-0.0438859424801426,0.6364617327138495,0.5779237346857651,0.8192094633062108,,-0.0409922743251961,-0.1521971008184931
6,6,1572,Acconeer,Measuring & Analysis,7.494,-28.745,0.14,27.544,223.223,-1.19283,1599.846,76.134,-0.25608,-55.656,199.698,-0.30503,-0.16398,0.7873600000000001,Sweden,First North,ACCON,-28.238,2022-02-18,ACCON.ST,,-28.341,51.348,8.011,0.7379300000000001,2022-03-30,Q4-2021,Industrials,-0.2787008382657813,0.1233923027645,-0.128069094682418,-1.7502482569936288,0.7203861573347267,0.7046872923733937,0.6706320868729005,1.7390072187037506,1.9185618654324696,-1.1200460633223803
7,7,2107,ACQ Bure SPAC,Investment Banking,3.482,-490.0,,,3442.2,-0.00233,3430.0,10.548,-0.00212,-7.0,3439.8,-0.03066,-0.02826,-0.09259,Sweden,Mid Cap,ACQ SPAC,-427.479,2022-02-17,ACQ-SPAC.ST,,-470.024,,0.997,172.84848000000002,2022-03-30,Q4-2021,Financials,-0.002035002035002,,0.0377000015165469,3.3351098367825784,0.1091960858177917,0.099970509858026,0.1036026512495271,,-0.0409922743251961,-0.1521971008184931
8,8,1015,AddLife,Biotechnology,90.419,-16.696,0.754,2857.0,10596.0,0.18655,32841.09,71.199,0.16756,-1967.0,4291.0,-0.2968,-0.16501,0.74382,Sweden,Large Cap,ALIF B,36.859,2022-02-04,ALIF-B.ST,0.00746,44.546,4.109,7.653,1.5532499999999998,2022-03-30,Q4-2021,Health Care,-0.4584013050570962,0.2696300490751226,-0.2170555660455805,-3.3679177597955934,0.6260152413110215,0.5298019287688625,0.5906756829333794,1.1317107354787164,1.0308962893614884,-2.109221819252185
9,9,7,Addnode,IT Consulting,29.204,327.696,0.943,2309.0,4322.0,0.13997,12780.16,47.22,0.13172,39.0,1693.0,-0.11422,0.09353,0.46718,Sweden,Mid Cap,ANOD B,43.109,2022-02-04,ANOD-B.ST,0.00789,57.133,3.135,7.549,0.13201,2022-03-30,Q4-2021,Technology,0.0230360307147076,0.534243405830634,0.0520377123751252,1.0350978285054535,0.4042850737685337,0.3589721520682052,0.4607617741709814,1.172286053275767,2.154468003729886,0.4634250767994484
