,Unnamed: 0,Börsdata ID,Company,Industry,Volume,P/FCF,Assets Turn,Gross profit,Tot. Assets,ROC,Market Cap,Volatility,ROE,FCF,Total Equity,Return 3m,Return 6m,Return 1y,Country,List,Tick,EV/EBIT,Last Report,Yahoo,Yield,P/E,P/S,P/B,Asset Growth,Info - Stock price,Info - Report,Sector,FCFROE,GPA,EA ret,EA ret std,1 Year Volatility,1 Year MAD,EA Volatility,Beta,Res_Mom_1Y,Res_Mom_6m,Total_Mom_6m
0,0,2,AAK,Food Processing,54.171,-27.926,1.275,8528.0,30661.0,0.14941,42363.581,25.681,0.1199399999999999,-1517.0,12698.0,-0.04738,-0.13763,-0.1221299999999999,Sweden,Large Cap,AAK,21.603,2022-04-27,AAK.ST,0.01526,27.783,1.079,3.336,0.3335499999999999,2022-05-24,Q1-2022,Food and Beverage,-0.1194676326980626,0.2781383516519357,-0.0121607286053153,-0.4539467975936576,0.210493569686892,0.2033512670359447,0.2455241875703499,0.7148215563502631,-2.1444492622503217,0.3864742321557529,-0.1029177678612639
1,1,3,ABB,Industrial Machinery,303.524,15.84,0.563,79632.0,355076.406,0.30094,603420.197,25.906,0.34536,38094.0,111274.797,-0.05194,-0.083,0.07145,Sweden,Large Cap,ABB,12.912,2022-04-21,ABB.ST,0.02555,14.382,2.476,5.423,0.04162,2022-05-24,Q1-2022,Industrials,0.3423416714927819,0.2242672243336832,0.0183095955192263,0.6547839985989569,0.2174396891630361,0.2052731396156408,0.2562833166064266,0.9330013135445152,7.567184748672491,7.019847558846608,0.0259830366530338
2,2,1323,AcadeMedia,Education,10.308,2.151,0.775,11542.0,18274.0,0.09078,4965.923,38.899,0.10997,2309.0,5647.0,-0.03811,-0.17793,-0.43241,Sweden,Mid Cap,ACAD,5.155,2022-05-05,ACAD.ST,0.03728,7.997,0.351,0.879,0.04951,2022-05-24,Q3-2022,Industrials,0.4088896759341243,0.6316077487140199,-0.1065652701262962,-2.4533182446072708,0.3784642816004198,0.3260305114313423,0.3981084947952549,0.6752266950139928,-19.392907074369816,-4.921900179638712,-0.1877997036290151
3,3,2198,Acast,Online Services,3.469,-12.15,0.629,408.651,1791.88,-1.3030099999999998,2539.768,70.392,-0.22495,-209.042,1441.964,-0.2251899999999999,-0.47487,-0.96105,Sweden,First North,ACAST,-5.08,2022-05-17,ACAST.ST,0.0,-7.97,2.254,1.761,1.77726,2022-05-24,Q1-2022,Technology,-0.1449703321303444,0.2280571243610063,-0.0050407698426879,-0.075456563874065,0.63609497334322,0.5929566823670049,0.6122650748719776,,-2.583931255312732,-1.5062247752206637,-0.4387351684792008
4,4,1572,Acconeer,Measuring & Analysis,5.098,-21.522,0.168,27.989,201.113,-0.98277,1298.91,69.954,-0.28632,-60.352,185.606,0.23321,-0.40024,0.23321,Sweden,First North,ACCON,-22.003,2022-04-22,ACCON.ST,0.0,-24.368,38.506,6.998,0.69293,2022-05-24,Q1-2022,Industrials,-0.3251619020936823,0.1391705160780258,-0.0643254521852282,-0.7531419481119406,0.7087382308379047,0.6857420869189101,0.7827906930162333,1.030286379572839,3.292236438562181,-9.57811050746833,-0.2875354061728719
5,5,2107,ACQ Bure SPAC,Investment Banking,1.636,-116.543,,,3439.2,-0.00291,3286.5,10.623,-0.00265,-28.2,3437.3,-0.04184,-0.0776,-0.13136,Sweden,Mid Cap,ACQ SPAC,-327.484,2022-04-12,ACQ-SPAC.ST,0.0,-361.154,,0.956,-0.00839,2022-05-24,Q1-2022,Financials,-0.0082041136938876,,0.009235838915203,0.7704306706027942,0.1046201907907131,0.0945661620253602,0.1098708360149322,,-2.583931255312732,-1.5062247752206637,-0.0679900592964872
6,6,1326,Acuvi,Electrical Components,2.637,641.9,0.172,-20.574,520.652,-0.1909799999999999,905.079,51.306,-0.18989,1.41,374.907,-0.00055,-0.32247,0.03668,Sweden,First North,ACUVI,-12.967,2022-04-20,ACUVI.ST,0.0,-12.433,10.078,2.414,9.38687,2022-05-24,Q1-2022,Industrials,0.0037609327113124,-0.0395158378341003,0.0572543774284992,0.9791599153619632,0.6116574810027168,0.5378797161768027,0.5359135199824402,1.1504512309188328,6.933134727300039,-7.508969593524688,-0.3505535006005332
7,7,1015,AddLife,Biotechnology,70.304,-12.094,0.714,3235.0,12372.0,0.18658,28383.91,70.076,0.15777,-2347.0,4551.0,0.16365,-0.2828,0.05748,Sweden,Large Cap,ALIF B,31.991,2022-04-28,ALIF-B.ST,0.00863,39.323,3.212,6.237,1.7444499999999998,2022-05-24,Q1-2022,Health Care,-0.5157108327840035,0.2614775299062399,-0.0717270603059342,-0.8106973523666554,0.6261472635537705,0.5404918429346818,0.8108936886719886,1.0688859829569024,-4.7179972770239225,-10.46204277756926,-0.2348428733371685
8,8,7,Addnode,IT Consulting,30.852,-125.809,0.811,2462.0,5388.0,0.1398,13587.328,46.401,0.15177,-108.0,1812.0,0.05208,0.12222,0.30113,Sweden,Mid Cap,ANOD B,38.438,2022-04-29,ANOD-B.ST,0.00743,49.115,3.111,7.499,0.3254599999999999,2022-05-24,Q1-2022,Technology,-0.0596026490066225,0.4569413511507053,0.0314941034181496,0.6590505640825499,0.4223009630245274,0.3892054370114662,0.4379758419882352,0.9480855920264774,5.143887919280014,6.125280565587767,0.2012624087991825
9,9,8,Addtech,Industrial Components,60.019,-324.503,1.13,4321.0,12427.0,0.22135,43483.364,52.56,0.25217,-134.0,4259.0,0.0698,-0.23365,0.1903,Sweden,Large Cap,ADDT B,31.675,2022-05-17,ADDT-B.ST,0.01129,39.85,3.098,10.21,0.2672899999999999,2022-05-24,Q4-2022,Industrials,-0.031462784691242,0.3477106300796652,-0.0231563570593938,-0.4332711138052176,0.4435773585890891,0.4127468177211799,0.489835374032358,1.2816291808632347,4.84576520781355,2.8374317265040165,0.0573333740234374
